original_title,year,genres,numvotes,averagerating,production_budget,domestic_gross,worldwide_gross
Pride and Prejudice and Zombies,2016,"Action,Comedy,Horror",46187,5.8,28000000,10907291,16638300
Men in Black 3,2012,"Action,Adventure,Comedy",309879,6.8,215000000,179020854,654213485
You Again,2010,"Comedy,Family,Romance",46690,5.8,20000000,25702053,32838945
8: The Mormon Proposition,2010,Documentary,1190,7.0,2500000,100280,100280
The Raven,2012,"Crime,Mystery,Thriller",79578,6.4,26000000,16008272,30601801
Sherlock Holmes: A Game of Shadows,2011,"Action,Adventure,Crime",394189,7.5,125000000,186848418,535663443
The Divide,2011,"Drama,Horror,Sci-Fi",33603,5.8,3000000,18000,156362
Beautiful Creatures,2013,"Drama,Fantasy,Romance",79764,6.2,50000000,19452138,60282876
The Comedian,2012,"Drama,Romance",328,5.5,15000000,1658706,1658706
October Baby,2011,Drama,6903,6.8,1000000,5355847,5391992
Danny Collins,2015,"Biography,Comedy,Drama",27435,7.0,10000000,5637066,8465845
Anderson's Cross,2010,"Comedy,Drama,Romance",106,5.5,300000,0,0
The Book of Eli,2010,"Action,Adventure,Drama",271307,6.9,80000000,94835059,158750817
Winchester,2018,"Biography,Drama,Fantasy",24351,5.4,3500000,25091816,44378040
Blue Valentine,2010,"Drama,Romance",170089,7.4,1000000,9737892,16566240
A Nightmare on Elm Street,2010,"Crime,Drama,Horror",85497,5.2,35000000,63075011,117729621
10 Cloverfield Lane,2016,"Drama,Horror,Mystery",260383,7.2,5000000,72082999,108286422
Escape Plan,2013,"Action,Crime,Mystery",211587,6.7,70000000,25135965,103735965
Wild Target,2010,"Action,Comedy,Crime",33915,6.8,8000000,109338,5314194
Hercules,2014,"Action,Adventure,Fantasy",137287,6.0,100000000,72688614,243388614
Venom,2018,"Action,Sci-Fi,Thriller",275406,6.7,116000000,213511408,853628605
The Watch,2012,"Action,Comedy,Horror",115757,5.7,55000000,34353000,67130045
Pirates of the Caribbean: On Stranger Tides,2011,"Action,Adventure,Fantasy",447624,6.6,410600000,241063875,1045663875
Despicable Me,2010,"Animation,Comedy,Family",464511,7.7,69000000,251513985,543464573
Bad Company,2010,Thriller,10,5.1,70000000,30157016,69157016
Jack the Giant Slayer,2013,"Adventure,Fantasy",123127,6.3,195000000,65187603,197687603
12 Strong,2018,"Action,Drama,History",50155,6.6,35000000,45819713,71118378
One Day,2011,"Drama,Romance",128094,7.0,15000000,13843771,59168692
Some Guy Who Kills People,2011,"Comedy,Crime,Drama",5111,6.3,300000,0,0
Tiny Furniture,2010,"Comedy,Drama,Romance",13397,6.2,50000,391674,424149
Larry Crowne,2011,"Comedy,Drama,Romance",58927,6.1,30000000,35608245,61449135
Act of Valor,2012,"Action,Adventure,Drama",63787,6.5,12000000,70012847,82497035
Norm of the North,2016,"Adventure,Animation,Comedy",7951,3.6,18000000,17062499,30535660
Rubber,2010,"Comedy,Fantasy,Horror",31316,5.8,500000,100370,680914
The Journey,2010,Family,12,6.4,500000,19800,19800
A Few Best Men,2011,"Comedy,Romance",12069,5.7,15000000,0,17224539
My Last Day Without You,2011,"Comedy,Drama,Romance",1178,5.7,1000000,0,0
Trolls,2016,"Adventure,Animation,Comedy",63295,6.5,125000000,153707064,344150134
Shame,2011,Drama,171353,7.2,6500000,4002293,20412841
The First Time,2012,"Comedy,Drama,Romance",62589,6.9,2000000,17061,17061
The Curse of Downers Grove,2015,"Drama,Horror,Mystery",1618,4.5,2000000,0,0
Demonic,2015,"Horror,Thriller",12025,5.3,3000000,0,4668109
The Final Girls,2018,"Comedy,Horror",5,5.4,4500000,0,0
Red,2018,Drama,26,8.1,60000000,90380162,196439693
A Walk Among the Tombstones,2014,"Action,Crime,Drama",105116,6.5,28000000,26017685,62108587
The History of Love,2016,"Drama,Romance,War",1024,6.3,20000000,0,476624
Furry Vengeance,2010,"Comedy,Family",14700,3.8,35000000,17630465,39340177
Jack Reacher,2012,"Action,Crime,Thriller",284547,7.0,60000000,80070736,217370736
Dracula Untold,2014,"Action,Drama,Fantasy",164829,6.3,70000000,55991880,220241723
The Hobbit: An Unexpected Journey,2012,"Adventure,Family,Fantasy",719629,7.9,250000000,303003568,1017003568
The Amazing Spider-Man,2012,"Action,Adventure,Sci-Fi",525632,7.0,220000000,262030663,757890267
The Runaways,2010,"Biography,Drama,Music",43792,6.6,9500000,3573673,5278632
Kidnap,2019,Drama,26,7.5,21000000,30718107,34836080
The Big Wedding,2013,"Comedy,Drama,Romance",44221,5.6,32500000,21819348,48425971
Kevin Hart: Laugh at My Pain,2011,"Comedy,Documentary",5081,7.4,750000,7706436,7712436
Hell Fest,2018,Horror,8662,5.5,5500000,11107431,18119231
Freedom,2011,Documentary,24,7.0,14500000,0,872757
Grace of Monaco,2014,"Biography,Drama,Romance",16685,5.7,30000000,0,25199891
Upside Down,2012,Drama,45,6.6,50000000,102118,26387039
Underdogs,2013,"Drama,Family,Sport",882,5.8,2500000,35017,1392649
The Purge,2013,"Horror,Thriller",183549,5.7,3000000,64473115,91266581
Sunday,2014,"Drama,Romance",146,6.2,450000,410919,450349
Stranded,2013,"Horror,Sci-Fi",3704,3.5,1900000,0,285593
Friend Request,2013,Thriller,116,4.0,9900000,3759078,11310835
Treachery,2013,"Drama,Thriller",391,3.7,625000,0,0
Hell or High Water,2016,"Action,Crime,Drama",176469,7.6,12000000,27007844,37584304
Kurmanjan datka,2014,"Action,Biography,Drama",3239,8.3,1400000,0,0
Night at the Museum: Secret of the Tomb,2014,"Adventure,Comedy,Family",93103,6.2,127000000,113746621,353756621
The Gambler,2013,Documentary,14,7.6,25000000,33680992,38718031
Eden,2014,"Drama,Thriller",2576,4.7,2300000,0,0
Rocky,2013,"Action,Comedy,Drama",46,6.1,1000000,117235147,225000000
Alpha,2015,"Drama,Horror,Mystery",37,7.7,51000000,35851379,99624873
The Bounce Back,2016,"Comedy,Romance",492,5.0,3000000,321910,421404
Shorts,2013,Drama,408,6.5,20000000,20919166,29870801
Captive,2015,"Action,Crime,Drama",6017,5.4,2000000,2583301,2791973
Still Alice,2014,Drama,116832,7.5,5000000,18656400,41699612
Godzilla: King of the Monsters,2019,"Action,Adventure,Fantasy",36479,6.7,170000000,85576941,299276941
The Equalizer 2,2018,"Action,Crime,Thriller",97963,6.7,77000000,102084362,190453132
Only the Brave,2017,"Action,Biography,Drama",45482,7.7,38000000,18340051,24555177
42,2013,"Biography,Drama,Sport",77703,7.5,31000000,95020213,97470701
The Descendants,2011,"Comedy,Drama",223464,7.3,20000000,82624961,175507800
Noah,2012,Animation,223,5.6,130000000,101200044,352831065
Shutter Island,2010,"Mystery,Thriller",1005960,8.1,80000000,128012934,299461782
You Will Meet a Tall Dark Stranger,2010,"Comedy,Drama,Romance",41608,6.3,15000000,3247816,34247816
Diary of a Wimpy Kid,2010,"Comedy,Drama,Family",38640,6.2,15000000,64003625,76954311
Kites,2010,"Action,Drama,Romance",11353,6.1,9200000,1685269,17155193
Ouija,2014,"Horror,Mystery,Thriller",44054,4.5,5000000,50856010,103300632
Out of the Furnace,2013,"Crime,Drama,Thriller",99037,6.8,22000000,11330849,15434375
Ghost in the Shell,2017,"Action,Drama,Sci-Fi",176499,6.4,110000000,40563557,167910690
Immortals,2011,"Action,Drama,Fantasy",152992,6.0,75000000,83504017,211562435
The Devil's Double,2011,"Biography,Drama,Thriller",58342,7.1,19100000,1361512,5965646
The Spy Next Door,2010,"Action,Comedy,Family",36767,5.5,28000000,24307106,46752858
Oldboy,2013,"Action,Drama,Mystery",63231,5.8,3000000,707391,6239723
The Twilight Saga: Eclipse,2010,"Adventure,Drama,Fantasy",211733,5.0,68000000,300531751,706102828
If I Stay,2014,"Drama,Fantasy,Music",107625,6.8,11000000,50474843,78356170
Mad Max: Fury Road,2015,"Action,Adventure,Sci-Fi",780910,8.1,150000000,153636354,370098020
A Lonely Place to Die,2011,"Adventure,Crime,Thriller",25547,6.3,4000000,0,442550
Submarine,2010,"Comedy,Drama,Romance",79810,7.3,1900000,467602,4581937
The Gift,2010,Documentary,46,7.6,10000000,12008642,44567606
The Help,2011,Drama,392699,8.1,25000000,169705587,213120004
Stake Land,2010,"Drama,Horror,Sci-Fi",38749,6.5,4000000,33245,679482
The Lego Movie,2014,"Action,Adventure,Animation",304179,7.8,60000000,257784718,457729388
3,2010,"Comedy,Drama,Romance",4722,6.7,7200000,59774,295492
Grabbers,2012,"Comedy,Horror,Sci-Fi",15727,6.3,5300000,0,440821
Without Men,2011,Comedy,1576,3.3,4700000,0,0
The Dilemma,2011,"Comedy,Drama",48148,5.3,70000000,48475290,70546865
Konferenz der Tiere,2010,"Adventure,Animation,Comedy",5340,4.9,30000000,0,53048539
Entourage,2015,Comedy,71519,6.6,30000000,32363404,46438538
Unbroken,2014,"Biography,Drama,Sport",129981,7.2,65000000,115637895,163527824
Diane,2018,Drama,389,6.5,2660000,0,0
Truth or Dare,2018,"Horror,Thriller",33621,5.2,3500000,41411015,95127344
The Kid Who Would Be King,2019,"Action,Adventure,Family",8044,6.0,59000000,16790790,28348446
Robin Hood,2013,"Action,Drama",78,6.3,210000000,105487148,322459006
Uncle Drew,2018,"Comedy,Sport",9739,5.7,18000000,42469946,46527161
Instant Family,2018,"Comedy,Drama",46728,7.4,48000000,67363237,119736188
Driven,2019,Thriller,25,8.4,72000000,32616869,54616869
Red 11,2019,"Horror,Sci-Fi,Thriller",43,5.6,7000,0,0
