original_title,year,genres,numvotes,averagerating,production_budget,domestic_gross,worldwide_gross
Trolls,2016,"Adventure,Animation,Comedy",63295,6.5,125000000,153707064,344150134
Shame,2011,Drama,171353,7.2,6500000,4002293,20412841
The First Time,2012,"Comedy,Drama,Romance",62589,6.9,2000000,17061,17061
A Walk Among the Tombstones,2014,"Action,Crime,Drama",105116,6.5,28000000,26017685,62108587
Furry Vengeance,2010,"Comedy,Family",14700,3.8,35000000,17630465,39340177
Jack Reacher,2012,"Action,Crime,Thriller",284547,7.0,60000000,80070736,217370736
Dracula Untold,2014,"Action,Drama,Fantasy",164829,6.3,70000000,55991880,220241723
The Hobbit: An Unexpected Journey,2012,"Adventure,Family,Fantasy",719629,7.9,250000000,303003568,1017003568
The Amazing Spider-Man,2012,"Action,Adventure,Sci-Fi",525632,7.0,220000000,262030663,757890267
The Runaways,2010,"Biography,Drama,Music",43792,6.6,9500000,3573673,5278632
The Big Wedding,2013,"Comedy,Drama,Romance",44221,5.6,32500000,21819348,48425971
Kevin Hart: Laugh at My Pain,2011,"Comedy,Documentary",5081,7.4,750000,7706436,7712436
Hell Fest,2018,Horror,8662,5.5,5500000,11107431,18119231
Underdogs,2013,"Drama,Family,Sport",882,5.8,2500000,35017,1392649
The Purge,2013,"Horror,Thriller",183549,5.7,3000000,64473115,91266581
Hell or High Water,2016,"Action,Crime,Drama",176469,7.6,12000000,27007844,37584304
Night at the Museum: Secret of the Tomb,2014,"Adventure,Comedy,Family",93103,6.2,127000000,113746621,353756621
The Bounce Back,2016,"Comedy,Romance",492,5.0,3000000,321910,421404
Captive,2015,"Action,Crime,Drama",6017,5.4,2000000,2583301,2791973
Godzilla: King of the Monsters,2019,"Action,Adventure,Fantasy",36479,6.7,170000000,85576941,299276941
The Equalizer 2,2018,"Action,Crime,Thriller",97963,6.7,77000000,102084362,190453132
Only the Brave,2017,"Action,Biography,Drama",45482,7.7,38000000,18340051,24555177
42,2013,"Biography,Drama,Sport",77703,7.5,31000000,95020213,97470701
The Descendants,2011,"Comedy,Drama",223464,7.3,20000000,82624961,175507800
Shutter Island,2010,"Mystery,Thriller",1005960,8.1,80000000,128012934,299461782
You Will Meet a Tall Dark Stranger,2010,"Comedy,Drama,Romance",41608,6.3,15000000,3247816,34247816
Diary of a Wimpy Kid,2010,"Comedy,Drama,Family",38640,6.2,15000000,64003625,76954311
Kites,2010,"Action,Drama,Romance",11353,6.1,9200000,1685269,17155193
Ouija,2014,"Horror,Mystery,Thriller",44054,4.5,5000000,50856010,103300632
Out of the Furnace,2013,"Crime,Drama,Thriller",99037,6.8,22000000,11330849,15434375
Ghost in the Shell,2017,"Action,Drama,Sci-Fi",176499,6.4,110000000,40563557,167910690
Immortals,2011,"Action,Drama,Fantasy",152992,6.0,75000000,83504017,211562435
The Devil's Double,2011,"Biography,Drama,Thriller",58342,7.1,19100000,1361512,5965646
The Spy Next Door,2010,"Action,Comedy,Family",36767,5.5,28000000,24307106,46752858
The Twilight Saga: Eclipse,2010,"Adventure,Drama,Fantasy",211733,5.0,68000000,300531751,706102828
If I Stay,2014,"Drama,Fantasy,Music",107625,6.8,11000000,50474843,78356170
Mad Max: Fury Road,2015,"Action,Adventure,Sci-Fi",780910,8.1,150000000,153636354,370098020
The Help,2011,Drama,392699,8.1,25000000,169705587,213120004
The Lego Movie,2014,"Action,Adventure,Animation",304179,7.8,60000000,257784718,457729388
The Dilemma,2011,"Comedy,Drama",48148,5.3,70000000,48475290,70546865
Entourage,2015,Comedy,71519,6.6,30000000,32363404,46438538
Unbroken,2014,"Biography,Drama,Sport",129981,7.2,65000000,115637895,163527824
Truth or Dare,2018,"Horror,Thriller",33621,5.2,3500000,41411015,95127344
The Kid Who Would Be King,2019,"Action,Adventure,Family",8044,6.0,59000000,16790790,28348446
Uncle Drew,2018,"Comedy,Sport",9739,5.7,18000000,42469946,46527161
Instant Family,2018,"Comedy,Drama",46728,7.4,48000000,67363237,119736188
Dinner for Schmucks,2010,Comedy,91546,5.9,69000000,73026337,86796502
Rings,2017,"Drama,Horror,Mystery",34151,4.5,25000000,27793018,82917283
Footloose,2011,"Comedy,Drama,Music",43251,5.9,24000000,51802742,62989834
Paul,2011,"Adventure,Comedy,Sci-Fi",220567,7.0,40000000,37412945,101162106
A Walk in the Woods,2015,"Adventure,Biography,Comedy",22033,6.3,8000000,29499394,37119358
Due Date,2010,"Adventure,Comedy",303523,6.5,65000000,100539043,211739043
Mars Needs Moms,2011,"Adventure,Animation,Family",19823,5.4,150000000,21392758,39549758
Devil,2010,"Horror,Mystery,Thriller",122080,6.2,10000000,33679655,63354114
Grown Ups,2010,Comedy,210377,6.0,75000000,162001186,272223430
Total Recall,2012,"Action,Adventure,Mystery",228460,6.3,125000000,58877969,211856088
We Bought a Zoo,2011,"Comedy,Drama,Family",126849,7.1,50000000,75624550,118729073
Attack the Block,2011,"Action,Comedy,Sci-Fi",93868,6.7,13000000,1024175,6459183
Drive Angry,2011,"Action,Fantasy,Thriller",90203,5.4,50000000,10721033,41042583
Soul Surfer,2011,"Biography,Drama,Family",41659,7.1,18000000,43853424,47158652
The Foreigner,2017,"Action,Thriller",81288,7.0,35000000,34393507,140783360
Creature,2011,Horror,2723,3.7,3000000,331000,331000
The Way Way Back,2013,"Comedy,Drama",132642,7.4,5000000,21502690,26853810
Warcraft,2016,"Action,Adventure,Fantasy",225557,6.9,160000000,47225655,425522281
The Fighter,2010,"Biography,Drama,Sport",316539,7.8,11000000,93617009,129262388
The Green Hornet,2011,"Action,Comedy,Crime",148622,5.8,110000000,98780042,229155503
Sisters,2015,Comedy,58994,6.0,30000000,87044645,106030660
The Sessions,2012,"Biography,Comedy,Drama",39731,7.2,1000000,6002451,11495204
Carrie,2013,"Drama,Horror",125424,5.9,30000000,35266619,82409520
Sholem Aleichem: Laughing in the Darkness,2011,Documentary,157,6.8,500000,1131261,1131261
War Dogs,2016,"Comedy,Crime,Drama",154029,7.1,50000000,43034523,86234503
American Sniper,2014,"Action,Biography,Drama",401915,7.3,58000000,350126372,547326372
Valerian and the City of a Thousand Planets,2017,"Action,Adventure,Fantasy",139792,6.5,180000000,40479370,215098356
Jobs,2013,"Biography,Drama",88788,5.9,18000000,16131410,43402515
The Looking Glass,2015,"Drama,Music",156,5.8,300000,1711,1711
Cars 3,2017,"Adventure,Animation,Comedy",59408,6.8,175000000,152901115,383541369
Dark Phoenix,2019,"Action,Adventure,Sci-Fi",24451,6.0,350000000,42762350,149762350
Jonah Hex,2010,"Action,Drama,Fantasy",51860,4.7,47000000,10547117,11022696
Brave,2012,"Adventure,Animation,Comedy",338728,7.1,185000000,237282182,554606532
The Roommate,2011,"Drama,Thriller",33062,4.9,16000000,37300107,52545707
Cyrus,2010,"Comedy,Drama,Romance",32457,6.3,7000000,7468936,10062896
MacGruber,2010,"Action,Comedy,Romance",39782,5.5,10000000,8525600,8629895
The Change-Up,2011,"Comedy,Fantasy",155374,6.3,52000000,37243418,75997067
Warm Bodies,2013,"Comedy,Horror,Romance",208709,6.9,30000000,66380662,115121608
Alvin and the Chipmunks: Chipwrecked,2011,"Adventure,Animation,Comedy",28158,4.4,80000000,133107389,349088523
Inside Job,2010,"Crime,Documentary",65304,8.3,2000000,4311834,7799257
Super 8,2011,"Mystery,Sci-Fi,Thriller",320575,7.0,50000000,127004179,257972745
Kick-Ass 2,2013,"Action,Comedy,Crime",238832,6.6,28000000,28795985,63129909
Pacific Rim,2013,"Action,Adventure,Sci-Fi",443667,6.9,190000000,101802906,411002906
Peeples,2013,"Comedy,Romance",4452,5.3,11000000,9177065,9307166
Anna Karenina,2012,"Drama,Romance",84668,6.6,49000000,12816367,71004627
Jodaeiye Nader az Simin,2011,"Drama,Thriller",197684,8.3,800000,7098492,24426169
X-Men: Days of Future Past,2014,"Action,Adventure,Sci-Fi",620079,8.0,200000000,233921534,747862775
Manchester by the Sea,2016,Drama,214557,7.8,8500000,47695371,77733867
Fantastic Beasts: The Crimes of Grindelwald,2018,"Adventure,Family,Fantasy",163151,6.6,200000000,159555901,652220086
Darkest Hour,2017,"Biography,Drama,History",136546,7.4,30000000,56443120,150807172
Moonlight,2016,Drama,227964,7.4,1500000,27854931,65245512
Creed II,2018,"Drama,Sport",72503,7.2,50000000,115715889,213591522
Green Book,2018,"Biography,Comedy,Drama",204972,8.3,23000000,85080171,322034439
The Great Wall,2017,Documentary,24,6.5,150000000,45157105,334486852
Jurassic World,2015,"Action,Adventure,Sci-Fi",539338,7.0,215000000,652270625,1648854864
