original_title,year,genres,numvotes,averagerating,production_budget,domestic_gross,worldwide_gross
Bridesmaids,2011,"Comedy,Romance",249501,6.8,32500000,169211718,289632023
The Devil Inside,2012,Horror,33522,4.2,1000000,53262945,101759490
Midnight in Paris,2011,"Comedy,Fantasy,Romance",356500,7.7,30000000,56816662,162502774
30 Minutes or Less,2011,"Action,Comedy,Crime",87254,6.1,28000000,37053924,40966716
Courageous,2011,Drama,17586,7.0,2000000,34522221,35185884
Project X,2012,Comedy,177782,6.7,12000000,54731865,103028188
Vampires Suck,2010,Comedy,43984,3.4,20000000,36661504,81424988
Deadfall,2012,"Crime,Drama,Thriller",36491,6.3,6000000,66351,1673635
Triple 9,2016,"Crime,Thriller",60369,6.3,20000000,12639297,25943792
Before I Go to Sleep,2014,"Drama,Horror,Mystery",64684,6.3,22000000,3242457,19563579
Action Point,2018,Comedy,6657,5.0,19000000,5059608,5103675
Piranha 3D,2010,"Comedy,Horror",81327,5.4,24000000,25003155,83660160
The Tree of Life,2011,"Drama,Fantasy",156266,6.8,35000000,13305665,61721826
Tulip Fever,2017,"Drama,History,Romance",15037,6.2,25000000,2455635,6792768
Goosebumps,2015,"Adventure,Comedy,Family",72858,6.3,58000000,80069458,158905324
Green Lantern,2011,"Action,Adventure,Sci-Fi",252281,5.5,200000000,116601172,219535492
Death Wish,2018,"Action,Crime,Drama",50279,6.4,30000000,34017028,48575965
The Hobbit: The Desolation of Smaug,2013,"Adventure,Fantasy",565563,7.8,250000000,258366855,960366855
First Man,2018,"Biography,Drama,History",120009,7.4,60000000,44936545,105203825
300: Rise of an Empire,2014,"Action,Fantasy,War",262978,6.2,110000000,106580051,330780051
The Man with the Iron Fists,2012,Action,58185,5.4,15000000,15634090,22018988
Gulliver's Travels,2010,"Adventure,Comedy,Family",61178,4.9,112000000,42779261,232017848
47 Ronin,2013,"Action,Adventure,Drama",135754,6.3,175000000,38362475,151716815
The American,2010,"Crime,Drama,Thriller",86863,6.3,20000000,35606376,67950723
Martha Marcy May Marlene,2011,"Drama,Mystery,Thriller",45873,6.9,1000000,2981038,5438911
The Next Three Days,2010,"Action,Crime,Drama",168066,7.4,30000000,21148651,67255916
Dum Maaro Dum,2011,"Action,Crime,Drama",3616,6.2,5200000,564489,11633427
Jackie,2016,"Biography,Drama,History",66008,6.7,9000000,13960394,36588512
Hobo with a Shotgun,2011,"Action,Comedy,Horror",41633,6.1,3000000,703372,834953
The Boy,2016,"Horror,Mystery,Thriller",68957,6.0,10000000,35819556,68220952
Miss Sloane,2016,"Drama,Thriller",52788,7.5,18000000,3500605,7719630
Fifty Shades of Black,2016,Comedy,17189,3.5,5000000,11686940,22113075
The Emoji Movie,2017,"Adventure,Animation,Comedy",47294,3.2,50000000,86089513,216562312
The Hate U Give,2018,"Crime,Drama",17583,7.3,23000000,29719483,35067665
Visages villages,2017,Documentary,8261,7.9,1000000,952432,4015686
Real Steel,2011,"Action,Drama,Family",283534,7.1,110000000,85463309,263880341
Ramona and Beezus,2010,"Adventure,Comedy,Family",16086,6.6,15000000,26167002,27469621
The Incredible Burt Wonderstone,2013,"Adventure,Comedy,Fantasy",67549,5.9,32000000,22537881,27392609
R.I.P.D.,2013,"Action,Adventure,Comedy",109078,5.6,130000000,33618855,79076678
Epic,2013,"Adventure,Animation,Family",95318,6.7,100000000,107518682,262794441
Red State,2011,"Action,Crime,Horror",59266,6.2,4000000,1065429,1983596
Hugo,2011,"Adventure,Drama,Family",284869,7.5,180000000,73864507,180047784
Child 44,2015,"Crime,Drama,History",59477,6.5,50000000,1224330,8004221
Frankenweenie,2012,"Animation,Comedy,Family",89489,7.0,39000000,35287788,81150788
Blood Done Sign My Name,2010,Drama,494,6.6,10000000,109383,109383
The World's End,2013,"Action,Comedy,Sci-Fi",235308,7.0,20000000,26004851,47508505
N-Secure,2010,"Crime,Drama,Thriller",587,3.6,1600000,2595644,2595644
Straight Outta Compton,2015,"Biography,Drama,History",165307,7.9,28000000,161197785,202182981
Yi dai zong shi,2013,"Action,Biography,Drama",28781,6.6,38600000,6594959,57987299
Max Steel,2016,"Action,Adventure,Family",16788,4.6,10000000,3818664,4563080
The Mortal Instruments: City of Bones,2013,"Action,Fantasy,Horror",121936,5.9,60000000,31165421,75965567
Abduction,2011,"Action,Mystery,Thriller",72552,5.1,35000000,28087155,86648359
A Good Day to Die Hard,2013,"Action,Thriller",188383,5.3,92000000,67349198,304249198
Think Like a Man,2012,"Comedy,Romance",41043,6.6,12000000,91547205,113373764
Edge of Tomorrow,2014,"Action,Sci-Fi",546284,7.9,178000000,100206256,370541256
Wrath of the Titans,2012,"Action,Adventure,Fantasy",172330,5.7,150000000,83670083,305270083
The Perks of Being a Wallflower,2012,Drama,422671,8.0,13000000,17742948,33069303
Ice Age: Continental Drift,2012,"Adventure,Animation,Comedy",175601,6.6,95000000,161321843,879765137
Like Crazy,2011,"Drama,Romance",55841,6.7,250000,3395391,3728400
Apollo 18,2011,"Horror,Mystery,Sci-Fi",51427,5.2,5000000,17686929,26517819
Step Up Revolution,2012,"Drama,Music,Romance",51295,6.5,33000000,35074677,165552290
Admission,2013,"Comedy,Drama,Romance",31849,5.7,13000000,18007317,18733666
Divergent,2014,"Action,Adventure,Mystery",399703,6.7,85000000,150947895,276014965
Dumbo,2019,"Adventure,Family,Fantasy",25072,6.6,170000000,113883318,345004422
The Space Between Us,2017,"Adventure,Drama,Romance",41031,6.4,30000000,7885294,16481405
The Wall,2017,"Action,Drama,Thriller",20391,6.2,3000000,1803064,4495262
Believe,2016,Drama,338,5.0,3500000,890303,890303
"Three Billboards Outside Ebbing, Missouri",2017,"Crime,Drama",344047,8.2,12000000,54513740,160191915
Smallfoot,2018,"Adventure,Animation,Comedy",23295,6.7,80000000,83240103,213691277
The Post,2017,"Biography,Drama,History",108017,7.2,50000000,81903458,179748880
Robot & Frank,2012,"Comedy,Crime,Drama",59229,7.1,2500000,3317468,4934356
No Good Deed,2014,"Action,Crime,Drama",16045,5.6,13200000,52543632,54323210
Fruitvale Station,2013,"Biography,Drama,Romance",68187,7.5,900000,16098998,17549645
Dark Skies,2013,"Horror,Sci-Fi,Thriller",65754,6.3,3500000,17418667,27704111
Joy,2015,Drama,118086,6.6,60000000,56451232,101134059
Get Hard,2015,"Comedy,Crime",111187,6.0,40000000,90411453,106511453
Wish I Was Here,2014,"Comedy,Drama",34907,6.7,6000000,3591299,6591365
Lucy,2014,"Action,Sci-Fi,Thriller",403194,6.4,40000000,126573960,457507776
The Hundred-Foot Journey,2014,"Comedy,Drama",69562,7.3,22000000,54235441,94270488
Inferno,2016,"Action,Adventure,Crime",138978,6.2,75000000,34343574,219519367
Incarnate,2016,"Horror,Thriller",10217,5.3,5000000,4799774,9371036
Sully,2016,"Biography,Drama",202718,7.5,60000000,125070033,238524556
Sicario,2015,"Action,Crime,Drama",328548,7.6,30000000,46889293,84393749
Unforgettable,2017,"Drama,Thriller",11489,5.1,12000000,11368012,16221211
The Night Before,2015,"Adventure,Comedy,Fantasy",58455,6.4,25000000,43035725,52427346
Glass,2019,"Drama,Sci-Fi,Thriller",133793,6.8,20000000,111035005,245303505
A Simple Favor,2018,"Comedy,Crime,Drama",83338,6.9,20000000,53548586,97628717
Hereditary,2018,"Drama,Horror,Mystery",151571,7.3,10000000,44069456,70133905
Casino Jack,2010,"Biography,Comedy,Crime",16191,6.2,12500000,2039869,2272186
The Muppets,2011,"Adventure,Comedy,Family",82752,7.1,45000000,88625922,160971922
Lawless,2012,"Crime,Drama",214055,7.3,26000000,37397291,54393687
Zookeeper,2011,"Comedy,Family,Romance",52396,5.2,80000000,80360866,170805525
Red Dawn,2012,"Action,Sci-Fi,Thriller",69599,5.4,65000000,44806783,48164150
Animal Kingdom,2010,"Crime,Drama",51576,7.3,4200000,1044039,8078683
Made in Dagenham,2010,"Biography,Comedy,Drama",13121,7.2,8000000,1095369,15644196
Cop Out,2010,"Action,Comedy,Crime",81656,5.6,37000000,44875481,55909910
Ride Along,2014,"Action,Comedy,Crime",94529,6.2,25000000,134202565,153733800
Winnie the Pooh,2011,"Adventure,Animation,Comedy",19605,7.2,30000000,26692846,50145607
Dream House,2011,"Drama,Mystery,Thriller",59714,6.0,50000000,21302340,41642166
The Master,2012,Drama,131365,7.1,37500000,16247159,50647416
Man on a Ledge,2012,"Action,Adventure,Crime",137507,6.6,42000000,18620000,49621440
The Woman in Black,2012,"Drama,Fantasy,Horror",165357,6.4,15000000,54333290,128955898
Contagion,2011,"Action,Drama,Thriller",201536,6.6,60000000,75658097,137551594
J. Edgar,2011,"Biography,Crime,Drama",115925,6.6,35000000,37306030,84606030
The Dark Tower,2017,"Action,Adventure,Fantasy",107518,5.7,60000000,50701325,113461527
Safe Haven,2013,"Drama,Romance,Thriller",97055,6.7,28000000,71399120,94050951
Snow White and the Huntsman,2012,"Action,Adventure,Drama",258938,6.1,170000000,155136755,401021746
No Escape,2015,"Action,Thriller",70222,6.8,5000000,27288872,42844516
Victor Frankenstein,2015,"Drama,Horror,Sci-Fi",47492,6.0,40000000,5775076,31124367
12 Years a Slave,2013,"Biography,Drama,History",577301,8.1,20000000,56671993,181025343
The Monuments Men,2014,"Comedy,Drama,History",117638,6.1,70000000,78031620,158702748
The Gunman,2015,"Action,Crime,Drama",36053,5.8,40000000,10664749,18594227
Birdman or (The Unexpected Virtue of Ignorance),2014,"Comedy,Drama",519417,7.7,18000000,42340598,103215094
Fences,2016,Drama,86749,7.2,24000000,57682904,64282881
Churchill,2017,"Biography,Drama,History",12047,6.3,10000000,1279681,7582196
Bitter Harvest,2017,"Drama,Romance,War",3057,6.1,21000000,557241,606162
Jack Reacher: Never Go Back,2016,"Action,Thriller",121892,6.1,60000000,58697076,159946489
Teenage Mutant Ninja Turtles: Out of the Shadows,2016,"Action,Adventure,Comedy",77234,6.0,135000000,82051601,245328374
Red Tails,2012,"Action,Adventure,Drama",31815,5.9,58000000,49876377,50365498
Something Borrowed,2011,"Comedy,Drama,Romance",54314,5.9,35000000,39046489,65084116
It's Kind of a Funny Story,2010,"Comedy,Drama,Romance",125583,7.1,8000000,6363628,6632950
Take Me Home Tonight,2011,"Comedy,Drama,Romance",48393,6.3,19000000,6928068,7576604
She's Out of My League,2010,"Comedy,Romance",117245,6.4,20000000,32010860,48680977
The Killer Inside Me,2010,"Crime,Drama,Horror",31727,6.1,13000000,217277,3617277
Captain America: The Winter Soldier,2014,"Action,Adventure,Sci-Fi",666252,7.8,170000000,259746958,714401889
Safety Not Guaranteed,2012,"Comedy,Drama,Romance",111907,7.0,750000,4010957,4422318
The Darkness,2016,"Horror,Thriller",12435,4.4,4000000,10753574,10898293
Side Effects,2013,"Crime,Drama,Mystery",168466,7.1,30000000,32172757,66742138
Tammy,2014,"Comedy,Romance",44345,4.9,20000000,84525432,96407655
Rampage,2018,"Action,Adventure,Sci-Fi",115891,6.1,120000000,101028233,428056280
Kung Fu Panda 3,2016,"Action,Adventure,Animation",116166,7.1,140000000,143528619,517599142
The SpongeBob Movie: Sponge Out of Water,2015,"Adventure,Animation,Comedy",43560,6.0,74000000,162994032,311013181
Sherlock Gnomes,2018,"Adventure,Animation,Comedy",8030,5.1,59000000,43242871,87527651
Delivery Man,2013,"Comedy,Drama",70706,6.4,22000000,30659817,70536870
Philomena,2013,"Biography,Comedy,Drama",88704,7.6,12000000,37709979,98963392
Tag,2018,Comedy,85186,6.5,28000000,54730625,77026186
Red Sparrow,2018,"Action,Drama,Thriller",136738,6.6,69000000,46874505,145951861
American Ultra,2015,"Action,Comedy,Sci-Fi",76769,6.1,28000000,14439985,30295028
Regression,2015,"Crime,Horror,Mystery",33335,5.7,20000000,55039,15824374
Patriots Day,2016,"Action,Crime,Drama",76204,7.4,40000000,31886361,52837989
Let There Be Light,2017,Drama,2179,4.8,3000000,7233471,7241309
What's Your Number?,2011,"Comedy,Romance",67922,6.1,20000000,14011084,30163785
Jack and Jill,2011,Comedy,71361,3.3,79000000,74158157,150519217
Snowden,2016,"Biography,Drama,Thriller",119149,7.3,50000000,21587519,35380918
Goosebumps 2: Haunted Halloween,2018,"Adventure,Comedy,Family",11459,5.6,35000000,46697321,93291478
The Possession of Hannah Grace,2018,"Horror,Mystery,Thriller",11629,5.2,6000000,14836174,42785387
Hotel Artemis,2018,"Action,Drama,Sci-Fi",30586,6.1,15000000,6708137,12758799
The Mechanic,2011,"Action,Crime,Thriller",141254,6.6,42500000,29121498,76347393
Keanu,2016,"Action,Comedy,Crime",41560,6.3,15000000,20591853,20688141
Fifty Shades Darker,2017,"Drama,Romance",81706,4.6,55000000,114434010,381398492
Adrift,2018,"Action,Adventure,Biography",34115,6.6,35000000,31445011,57897191
Interstellar,2014,"Adventure,Drama,Sci-Fi",1299334,8.6,165000000,188017894,666379375
Green Zone,2010,"Action,Drama,Thriller",122132,6.8,100000000,35497337,97523020
Repo Men,2010,"Action,Crime,Sci-Fi",96144,6.3,32000000,13942007,18195238
Jackass 3D,2010,"Action,Comedy,Documentary",53289,7.0,20000000,117229692,171685793
Holmes & Watson,2018,"Adventure,Comedy,Crime",17661,3.8,42000000,30568743,41926605
Looper,2012,"Action,Crime,Drama",500595,7.4,30000000,66486205,170466405
Tinker Tailor Soldier Spy,2011,"Drama,Mystery,Thriller",174890,7.1,21000000,24149393,81452811
Cloud Atlas,2012,"Action,Drama,Mystery",326473,7.4,102000000,27108272,130673154
Why Did I Get Married Too?,2010,"Comedy,Drama,Romance",8653,4.6,20000000,60095852,60831067
"I, Frankenstein",2014,"Action,Fantasy,Horror",74910,5.1,65000000,19075290,74575290
Black Nativity,2013,"Drama,Family,Music",1901,4.6,17500000,7018188,7285135
Monsters University,2013,"Adventure,Animation,Comedy",291887,7.3,200000000,268488329,743588329
Saw 3D,2010,"Crime,Horror,Mystery",83532,5.6,17000000,45710178,133735284
The Greatest Showman,2017,"Biography,Drama,Musical",199663,7.6,84000000,174340174,386665550
Red Riding Hood,2011,"Fantasy,Horror,Mystery",102369,5.5,42000000,37662162,91678442
The Vatican Tapes,2015,"Horror,Thriller",14822,5.0,13000000,1784763,14929184
Snow Flower and the Secret Fan,2011,"Drama,History",3429,6.1,6000000,1348205,11348205
Here Comes the Boom,2012,"Action,Comedy,Sport",81761,6.4,42000000,45290318,73239258
Take Shelter,2011,"Drama,Horror,Thriller",83200,7.4,4750000,1728953,4972016
The Guilt Trip,2012,"Comedy,Drama",33702,5.8,40000000,37134215,41294674
Weekend,2011,"Drama,Romance",25424,7.6,190000,484592,1577585
Secret in Their Eyes,2015,"Crime,Drama,Mystery",37455,6.3,20000000,20180155,32608019
Little Boy,2015,"Drama,History,War",20945,7.4,20000000,6485961,17769299
Destroyer,2018,"Action,Crime,Drama",13683,6.2,9000000,1533324,3681096
What Men Want,2019,"Comedy,Fantasy,Romance",10141,4.9,20000000,54611903,69911903
Hall Pass,2011,"Comedy,Romance",113775,5.9,68000000,45060734,87173475
The Good Dinosaur,2015,"Adventure,Animation,Comedy",91465,6.7,187500000,123087120,333771037
Guardians of the Galaxy,2014,"Action,Adventure,Comedy",948394,8.1,170000000,333172112,770867516
Mama,2013,"Horror,Thriller",158487,6.2,15000000,71628180,148095566
The Best Man Holiday,2013,"Comedy,Drama",13967,6.7,17000000,70525195,72835710
Inside Out,2015,"Adventure,Animation,Comedy",536181,8.2,175000000,356461711,854235992
Getaway,2013,"Action,Crime,Thriller",22157,4.4,18000000,10501938,11813989
Into the Woods,2014,"Adventure,Comedy,Drama",123577,6.0,56200000,128002372,213116401
Before Midnight,2013,"Drama,Romance",123107,7.9,3000000,8110621,23251930
Plush,2013,"Drama,Music,Thriller",3462,5.4,2000000,3080,28864
Alice Through the Looking Glass,2016,"Adventure,Family,Fantasy",79951,6.2,170000000,77042381,276928112
Rosewater,2014,"Biography,Drama",9836,6.6,10000000,3128941,3185717
Whiskey Tango Foxtrot,2016,"Biography,Comedy,Drama",46265,6.6,35000000,23083334,25350747
La La Land,2016,"Comedy,Drama,Music",436070,8.0,20000000,151101803,426351163
War Room,2015,Drama,11716,6.5,3000000,67790117,73975239
31,2016,"Horror,Thriller",15055,5.1,1500000,779820,922727
Rough Night,2017,"Comedy,Crime,Thriller",39447,5.2,20000000,22105643,46844357
The Perfect Match,2016,"Comedy,Romance",3052,4.9,5000000,9669521,10182050
"Everything, Everything",2017,"Drama,Romance",26811,6.4,10000000,34121140,61603136
Skyscraper,2018,"Action,Adventure,Thriller",81193,5.8,125000000,68420120,304115534
Acrimony,2018,"Drama,Romance,Thriller",6119,5.7,20000000,43549096,46627836
The Intruder,2019,"Drama,Horror,Mystery",1912,5.5,8000000,35095904,36005871
I Feel Pretty,2018,"Comedy,Romance",39936,5.4,32000000,48795601,91553797
"Paul, Apostle of Christ",2018,"Adventure,Biography,Drama",5662,6.7,5000000,17547999,25529498
Valentine's Day,2010,"Comedy,Romance",107171,5.7,52000000,110485654,217569328
Megamind,2010,"Action,Animation,Comedy",207488,7.3,130000000,148415853,321887208
The Ides of March,2011,"Drama,Thriller",207417,7.1,23000000,40962534,77735925
Big Eyes,2014,"Biography,Crime,Drama",77447,7.0,10000000,14482031,27317872
Beastly,2011,"Drama,Fantasy,Romance",72599,5.6,17000000,27865571,38028230
The Five-Year Engagement,2012,"Comedy,Romance",88469,6.2,30000000,28700285,61623819
Jack Ryan: Shadow Recruit,2014,"Action,Drama,Thriller",114913,6.2,60000000,50577412,131377412
August: Osage County,2013,"Comedy,Drama",79383,7.2,25000000,37738810,50738810
Movie 43,2013,Comedy,92980,4.3,10000000,8840453,31164747
Arthur,2011,"Comedy,Romance",49013,5.7,40000000,33035397,47787943
Black Mass,2015,"Biography,Crime,Drama",155847,6.9,53000000,62575678,98837872
Suicide Squad,2016,"Action,Adventure,Fantasy",533039,6.0,175000000,325100054,746059887
The Lost Medallion: The Adventures of Billy Stone,2013,"Adventure,Family,Fantasy",1502,4.9,2500000,549632,549632
Journey 2: The Mysterious Island,2012,"Action,Adventure,Comedy",83507,5.8,79000000,103860290,318146162
Battleship,2012,"Action,Adventure,Sci-Fi",225342,5.8,220000000,65233400,313477717
The Odd Life of Timothy Green,2012,"Comedy,Drama,Family",42770,6.6,40000000,51853450,55249159
A Better Life,2011,"Drama,Romance",14602,7.2,10000000,1759252,1884251
Safe House,2012,"Action,Adventure,Crime",192655,6.8,85000000,126181630,208542162
Savages,2012,"Crime,Drama,Thriller",115793,6.5,45000000,47323100,82513490
A Wrinkle in Time,2018,"Adventure,Family,Fantasy",34888,4.2,103000000,100478608,133401882
Safe,2012,"Action,Crime,Thriller",96388,6.5,33000000,17142080,41495213
The Snowman,2017,"Crime,Drama,Mystery",47890,5.1,35000000,6670765,43226146
Killing Them Softly,2012,"Crime,Thriller",124086,6.2,15000000,14945541,39238443
Wreck-It Ralph,2012,"Adventure,Animation,Comedy",344496,7.7,165000000,189412677,496511521
Burn,2012,Documentary,663,7.5,225000,1109276,1109276
The Amazing Spider-Man 2,2014,"Action,Adventure,Sci-Fi",388363,6.6,200000000,202853933,708996336
The Darkest Minds,2018,"Action,Adventure,Drama",21340,5.7,34000000,12695691,38361428
The Circle,2017,"Drama,Sci-Fi,Thriller",72536,5.3,18000000,20497844,40651864
The Fate of the Furious,2017,"Action,Crime,Thriller",179774,6.7,250000000,225764765,1234846267
Early Man,2018,"Adventure,Animation,Comedy",15882,6.1,50000000,8267544,45285890
Lady Bird,2017,"Comedy,Drama",177677,7.4,10000000,48958273,78610769
Slender Man,2018,"Horror,Mystery,Thriller",19650,3.2,10000000,30564825,51723644
"Roman J. Israel, Esq.",2017,"Crime,Drama,Thriller",23632,6.4,22000000,11962712,12967012
I Can Only Imagine,2018,"Biography,Drama,Family",11439,7.4,7000000,83482352,85604221
The Three Stooges,2012,"Comedy,Family",28570,5.1,30000000,44338224,54052249
Spotlight,2015,"Crime,Drama",365110,8.1,20000000,45055776,92088460
The Hunger Games: Mockingjay - Part 2,2015,"Action,Adventure,Sci-Fi",252384,6.6,160000000,281723902,648986787
Father Figures,2017,"Adventure,Comedy,Drama",14373,5.5,25000000,17501244,21038441
13 Sins,2014,"Horror,Thriller",29550,6.3,4000000,9134,47552
Dead Man Down,2013,"Action,Crime,Drama",61238,6.5,30000000,10895295,19599974
Addicted,2014,"Drama,Thriller",7640,5.2,5000000,17390770,17499242
White House Down,2013,"Action,Drama,Thriller",191791,6.4,150000000,73103784,205440387
Live by Night,2016,"Action,Crime,Drama",47243,6.4,65000000,10378555,21774432
Me Before You,2016,"Drama,Romance",174567,7.4,20000000,56245075,208265198
Sinister 2,2015,"Horror,Mystery,Thriller",41782,5.3,10000000,27740955,54104225
The Lazarus Effect,2015,"Horror,Mystery,Sci-Fi",37675,5.2,5000000,25801570,38359310
Happy Christmas,2014,"Comedy,Drama",7217,5.5,70000,30312,30312
Tusk,2014,"Comedy,Drama,Horror",40827,5.3,3000000,1821983,1887554
Compadres,2016,"Action,Comedy,Crime",876,4.7,3000000,3127773,7445044
The Martian,2015,"Adventure,Drama,Sci-Fi",680116,8.0,108000000,228433663,655271443
Eighth Grade,2018,"Comedy,Drama",43256,7.5,2000000,13539710,14341016
The Wolfman,2010,"Drama,Fantasy,Horror",97873,5.8,150000000,62189884,142634358
Percy Jackson & the Olympians: The Lightning Thief,2010,"Adventure,Family,Fantasy",165108,5.9,95000000,88768303,223050874
Centurion,2010,"Action,Adventure,Drama",74085,6.4,15000000,123570,7885048
Silver Linings Playbook,2012,"Comedy,Drama,Romance",621018,7.7,21000000,132092958,236412453
Parental Guidance,2012,"Comedy,Family",23711,6.1,25000000,77267296,120832383
Tomorrowland,2015,"Action,Adventure,Family",161343,6.4,170000000,93436322,206627518
The Last Exorcism Part II,2013,"Drama,Horror,Thriller",15124,4.0,4000000,15179303,25448707
Point Break,2015,"Action,Crime,Sport",53802,5.3,100000000,28782481,126704591
Second Act,2018,"Comedy,Drama,Romance",13109,5.8,15700000,39282227,63288854
Big Hero 6,2014,"Action,Adventure,Animation",371204,7.8,165000000,222527828,652127828
Spider-Man: Homecoming,2017,"Action,Adventure,Sci-Fi",426302,7.5,175000000,334201140,880166350
Focus,2015,"Comedy,Crime,Drama",192147,6.6,65000000,53862963,168065700
Get on Up,2014,"Biography,Drama,Music",19024,6.9,30000000,30569935,33339868
Zootopia,2016,"Adventure,Animation,Comedy",383446,8.0,150000000,341268248,1019429616
X-Men: Apocalypse,2016,"Action,Adventure,Sci-Fi",356556,7.0,178000000,155442489,542537546
Despicable Me 3,2017,"Adventure,Animation,Comedy",92580,6.3,75000000,264624300,1034727750
The Walk,2015,"Adventure,Biography,Drama",109714,7.3,35000000,10161183,61492104
American Made,2017,"Action,Biography,Comedy",131043,7.2,50000000,51342000,135569212
Girls Trip,2017,"Comedy,Drama",29321,6.2,28000000,115108515,140886353
A Street Cat Named Bob,2016,"Biography,Comedy,Drama",23204,7.4,8000000,82703,17382693
Tian jiang xiong shi,2015,"Action,Adventure,Drama",16672,6.0,65000000,74070,122519874
Forever My Girl,2018,"Drama,Music,Romance",10316,6.7,3500000,16376066,16376066
Hunt for the Wilderpeople,2016,"Adventure,Comedy,Drama",87532,7.9,2500000,5205471,23845533
How to Be a Latin Lover,2017,"Comedy,Drama",11747,5.9,10000000,32149404,62556228
Hotel Transylvania 3: Summer Vacation,2018,"Adventure,Animation,Comedy",42299,6.3,65000000,167500092,527079962
Insidious: The Last Key,2018,"Horror,Mystery,Thriller",42154,5.7,10000000,67745330,167885588
A Ghost Story,2017,"Drama,Fantasy,Romance",46280,6.8,100000,1594798,2769782
Silence,2016,"Adventure,Drama,History",85242,7.2,46500000,7100177,23726626
Kill the Messenger,2014,"Biography,Crime,Drama",41231,7.0,5000000,2450846,6656705
Locker 13,2014,Thriller,290,4.7,300000,3496,3496
Date Night,2010,"Comedy,Crime,Romance",144683,6.3,55000000,98711404,152269033
Seeking a Friend for the End of the World,2012,"Adventure,Comedy,Drama",102047,6.7,10000000,7078738,11766959
The Infiltrator,2016,"Biography,Crime,Drama",61547,7.0,47500000,15436808,20718104
Taken 2,2012,"Action,Thriller",273106,6.3,45000000,139854287,377807404
Winter's Bone,2010,"Drama,Mystery",127751,7.2,2000000,6531503,16131551
Hansel & Gretel: Witch Hunters,2013,"Action,Fantasy,Horror",183387,6.1,50000000,55703475,214949716
Prometheus,2012,"Adventure,Mystery,Sci-Fi",538720,7.0,125000000,126477084,402448265
Kidnap,2017,"Crime,Drama,Thriller",28898,5.9,21000000,30718107,34836080
Area 51,2015,"Horror,Sci-Fi,Thriller",11537,4.2,5000000,7556,7556
Wanderlust,2012,"Comedy,Romance",69081,5.6,32500000,17288155,24159934
I Don't Know How She Does It,2011,"Comedy,Romance",18552,4.9,24000000,9659074,24474463
The Giant Mechanical Man,2012,"Comedy,Drama,Romance",8921,6.7,900000,7396,7396
The Hunger Games: Catching Fire,2013,"Action,Adventure,Sci-Fi",575455,7.5,130000000,424668047,864868047
3 Days to Kill,2014,"Action,Drama,Thriller",81681,6.2,28000000,30697999,38959900
22 Jump Street,2014,"Action,Comedy,Crime",319504,7.0,50000000,191719337,331333876
Need for Speed,2014,"Action,Crime,Thriller",154909,6.5,66000000,43568507,194169619
The Magnificent Seven,2016,"Action,Adventure,Western",168514,6.9,90000000,93432655,162525156
Arrival,2016,"Drama,Mystery,Sci-Fi",515483,7.9,47000000,100546139,203127894
Whiplash,2014,"Drama,Music",616916,8.5,3300000,13092006,38969037
Veronica Mars,2014,"Crime,Drama,Mystery",46751,6.8,6000000,3322127,3485383
Mike and Dave Need Wedding Dates,2016,"Adventure,Comedy,Romance",74849,6.0,33000000,46009673,75898100
The Past is a Grotesque Animal,2014,"Biography,Documentary,Music",118,7.2,100000,20056,20056
La chambre bleue,2014,"Crime,Romance,Thriller",2855,6.3,1400000,260441,1945420
Jigsaw,2017,"Crime,Horror,Mystery",57184,5.8,10000000,38052832,102445196
Nerve,2016,"Action,Adventure,Crime",102782,6.5,20000000,38583626,70652284
The Predator,2018,"Action,Adventure,Sci-Fi",94888,5.4,88000000,51024708,159487563
Nocturnal Animals,2016,"Drama,Thriller",205240,7.5,22500000,10663357,32398681
Bad Moms,2016,Comedy,100952,6.2,20000000,113257297,180998716
Peter Rabbit,2018,"Adventure,Animation,Comedy",27908,6.6,50000000,115234093,347136477
"Love, Simon",2018,"Comedy,Drama,Romance",81575,7.6,10000000,40826341,65520633
Life,2017,"Horror,Sci-Fi,Thriller",182840,6.6,58000000,30234022,100929666
The Big Sick,2017,"Comedy,Drama,Romance",104008,7.6,5000000,42872467,53972860
Aladdin,2019,"Adventure,Comedy,Family",57549,7.4,182000000,246734314,619234314
The Legend of Tarzan,2016,"Action,Adventure,Drama",150154,6.3,180000000,126643061,348902025
The Eagle,2011,"Action,Adventure,Drama",61475,6.2,25000000,19490041,38993548
Power Rangers,2017,"Action,Adventure,Sci-Fi",92013,6.0,120000000,85364450,142531552
The Overnight,2015,"Comedy,Mystery",14828,6.1,200000,1109808,1165996
Do You Believe?,2015,Drama,6462,6.1,2300000,12985600,14304931
The House,2017,"Comedy,Crime",33365,5.6,40000000,25584504,31192425
Morgan,2016,"Action,Horror,Sci-Fi",35487,5.8,8000000,3915251,7298786
Storks,2016,"Adventure,Animation,Comedy",50448,6.8,70000000,72679278,183353431
The Best of Enemies,2019,"Biography,Drama,History",1162,6.8,10000000,10205616,10205616
Wish Upon,2017,"Drama,Fantasy,Horror",14962,5.0,12000000,14301505,23477345
L'illusionniste,2010,"Animation,Drama",31734,7.5,17000000,2231474,8609949
The Nut Job,2014,"Adventure,Animation,Comedy",24587,5.7,30000000,64251538,122529966
About Last Night,2014,"Comedy,Romance",21078,6.1,13000000,48637684,50445860
The Edge of Seventeen,2016,"Comedy,Drama",87602,7.3,9000000,14431633,19096003
